id,category,question,answer_summary,answer_detailed,keywords,source,date
IQ1,회사 소개 및 대표,기본정보,설립일 : 2028년 7월 3일,"주요사업 : 탄소나노튜브 섬유 및 필름 소재, 차세대 X-선 발생장치, 공기 살균/정화 모듈 | 성과 : 4차례 총 270억원 규모의 투자 유치, 중기부 TIPS(7억) 선정, 그린뉴딜 유망기업(30억) 선정, 신보 퍼스트펭귄 선정, SBA core 100 선정, SBA 하이서울기업 선정","설립일 : 2028년 7월 3일; 주요사업 : 탄소나노튜브 섬유 및 필름 소재, 차세대 X-선 발생장치, ; 성과 : 4차례 총 270억원 규모의 투자 유치, 중기부 TIPS(7억)",한경 잡앤조이,2023.12.12
IQ2,회사 소개 및 대표,회사 및 대표소개,"안녕하세요, 소부장 유니콘을 꿈꾸는 5년차 테크 스타트업 어썸레이 대표 김세훈입니다.","저희는 탄소나노튜브라는 신소재를 섬유 및 다양한 형태로 생산하는 기반 기술을 바탕으로, 차세대 엑스레이룰 개발하였고, | 현재는 해당 광원이 포함된 공기 살균/정화장치 에어썸을 사업화하고 있습니다. | 저는 서울대학교 재료공학부에서 박사학위를 받고, 어썸레이가 4반째인 연쇄창업가 입니다.","안녕하세요, 소부장 유니콘을 꿈꾸는 5년차 테크 스타트업 어썸레이 대표 ; 저희는 탄소나노튜브라는 신소재를 섬유 및 다양한 형태로 생산하는 기반 기; 현재는 해당 광원이 포함된 공기 살균/정화장치 에어썸을 사업화하고 있습니",한경 잡앤조이,2023.12.12
IQ4,회사 소개 및 대표,멤버소개,"연구실 직속후배 3명과 함께 회사를 이끌고 있으며, X-선 튜브 개발 및 생산 전문가, 제조업 전문 CFO 등을 추가로 영입하여 현재 46명의 멤버가 함께 하고 있는데,","여성 비율이 높고,  10대부터 60대까지 함께 근무하는 폭넓은 스펙트럼을 가지고 있습니다. 방학마다 여러학교와 인턴쉽도 적극적으로 진행하고 있습니다.","연구실 직속후배 3명과 함께 회사를 이끌고 있으며, X-선 튜브 개발 및; 여성 비율이 높고,  10대부터 60대까지 함께 근무하는 폭넓은 스펙트럼",한경 잡앤조이,2023.12.12
IQ5,회사 소개 및 대표,아이템소개,어썸레이는 소부장 스타트업으로 세가지를 동시에 사업화 추진중입니다.,"현재 차세대 광원을 이용한 공기살균/정화 솔루션인 에어썸을 사업화하고 있으며, 이 제품은 기존의 공조기나 환기장치에 부착하여 공기 중의 미세먼지, 세균, 바이러스와 같은 입자상 오염물질을 필터없이 제거하는 친환경 솔루션입니다. | 현재 국내에 30여곳 이상의 건물에 설치되어 있으며, 조리실과 같은 특수환경용이나 모빌리티와 같은 새로운 분야의 확장을 준비중에 있습니다. | 이 기기는 ""냉음극 X-선""이라는 차세대 광원을 기반으로 하고 있는데, 이 광원은 에어솔루션 뿐만 아니라 기존의 의료 및 검사 영상쪽까지 확장 가능하여, 2024년 영상분야 진출을 준비중에 있습니다. | 기존에 비해 사이즈가 적고, 에너지효율이 좋으며 무엇보다 저선량으로 측정이 가능하다는 장점이 있습니다. | 이 모든 부품과 장비는 결국 탄소나노튜브(CNT) 섬유라는 핵심소재 떄문에 가능한 것인데, 자체적인 소재사용 이외에도 발열체, 차세대배터리, 권선, 펠리클 등의 다양한 분야에 저희 소재에 타당성 평가를 진행중입니다. | 회사를 설립할때 예상했던 것보다 빠르게 사업화가 이루어지고 있습니다.","어썸레이는 소부장 스타트업으로 세가지를 동시에 사업화 추진중입니다.; 현재 차세대 광원을 이용한 공기살균/정화 솔루션인 에어썸을 사업화하고 있; 현재 국내에 30여곳 이상의 건물에 설치되어 있으며, 조리실과 같은 특수",한경 잡앤조이,2023.12.12
IQ11,사업 및 아이템,IP R&D 사업 진행간 어려웠던 점,특허청 지원사업에서 가장 특징적인 것이 진행을 도와주시는 전문위원의 존재와 모든 프로젝트에 특허법인이 포함되어있다는 것이라 생각합니다.,"하지만 새로운 특허법인이 파트너로 선정되는 경우, 새로운 파트너를 만날 수 있다는 가능성도 있지만, 회사의 핵심기술와 내용을 전달하는데 초기에 많은 시간을 소모하게 되는 문제가 있습니다. 기존에 파트너 특허법인이 있다면, 그 특허법인/사무소와 함께 프로젝트를 진행할 수 있는 방법이 좀 더 수월해졌으면 합니다.","특허청 지원사업에서 가장 특징적인 것이 진행을 도와주시는 전문위원의 존재; 하지만 새로운 특허법인이 파트너로 선정되는 경우, 새로운 파트너를 만날 ",에이빙뉴스,2023.12.12
IQ12,사업 및 아이템,IP제품혁신 지원사업을 통해 도움받은(어려움을 극복한)점,"스타트업의 특성상 처음부터 디자인, 설계 인력을 모두 갖추고 진행하기가 어렵고, 특허에 관련한 부분은 더더욱 어렵습니다. 그렇기 때문에 기능만 갖추고 있는 시제품을 가지고 있는 스타트업에게 제품화로 넘어가는 단계에 있어 IP 제품혁신 지원사업은 상당한 도움이 되었습니다.","무엇보다 사업비만 주고 결과보고서만 요구하는 다른 지원사업들과 달리, 전문위원이 정기적인 미팅을 통해 진행을 관리하고, 실제적인 의견을 제시해주는 부분이 가장 좋았던 것 같습니다. 이는 단순히 사업비의 규모를 넘어서는, 스타트업에게는 엄청난 메리트라고 생각합니다. | 길지 않은 과제 기간이었지만, 처음에 희망했던 수준의 결과물이 나왔고, 그 결과물을 바탕으로 실제 개발에 들어갈 수 있게 되었습니다.","스타트업의 특성상 처음부터 디자인, 설계 인력을 모두 갖추고 진행하기가 ; 무엇보다 사업비만 주고 결과보고서만 요구하는 다른 지원사업들과 달리, 전; 길지 않은 과제 기간이었지만, 처음에 희망했던 수준의 결과물이 나왔고, ",에이빙뉴스,2023.12.12
IQ13,사업 및 아이템,특허를 활용하여 사업화 하고싶은 분들에게 전해드릴 말씀,"어디에 어떻게 특허를 사용할 계획이 없는 상황에서 특허만 먼저 쓰게 된다면, 엄청난 수준의 원천특허가 아닌 이상, 그 특허의 활용도는 매우 낮아지고 회사의 특허보유 개수를 채우는 정도로 활용될 가능성이 높다고 생각합니다.","반대로 사업의 전략을 수립하면서, 그에 필요한 특허의 포트폴리오를 세우고, 특허를 채워나가며 완성하는 것이, 특허를 기반으로 탄탄하게 사업을 풀어나가는 것이라 생각합니다. 사내에 특허 전문인력을 둘 수 없다면, 주요 특허파트너를 정하고, 전문가와 함께 특허 전략을 수립해나가는 것이 필요합니다. 특허별로 그때그때 다른 특허법인을 사용하는 것은 꼭 피해야할 일이라 생각합니다. 다만 속도를 내기 위해서 메인 파트너 이외에 추가적인 파트너를 선정하는것은 가능하다고 봅니다.","어디에 어떻게 특허를 사용할 계획이 없는 상황에서 특허만 먼저 쓰게 된다; 반대로 사업의 전략을 수립하면서, 그에 필요한 특허의 포트폴리오를 세우고",에이빙뉴스,2023.12.12
IQ6,경쟁력 및 기술,경쟁력,"최근의 그래핀처럼 탄소나튜브(CNT)는 삼십년전 빌견된 이후 분말이라는 형태적 한계로 사업화되지 못했지만, 최근 배터리 전극에 분말 첨가제로 사용되면서 상업화되었고, 저희는 한단계 더 나아가 CNT를 섬유 또는 필름 형태로 연속생산하는 기술을 가지고 있습니다.","CNT를 원하는 물성과 형태로 민들어 낼 수 있기에, 다양한 분야에 실제적 대응을 할 수 있습니다. | 저희가 응용분야를 찾는게 아니라, 업계에서 원하는 스펙을 맞출 수 있는 고부가가치 영역만 사업화하는 것입니다. 자체적으로 사용하는 전극부터 발열체, 배터리재료 그리고 펠리클까지 현재 사업화 추진중입니다. | 해당 소재를 전극으로 민들면 전계방출 field emission 이라는 특수한 성질을 구현할 수 있는 냉음극 전극을 만들 수 있는데, 이를 바탕으로 많은 열이 발생하고 효율이 떨어졌던 X-선의 발생장치의 텅스텐 열음극을 대체할 수 있고, 디지털 구동이 가능한 초소형 X-선 발생장치를 만들 수 있습니다. | 많은 분들이 알고계시는 의료 및 검사 영상용 Hard X선은 2024년 사업화를 준비중이고, 현재는 약한 애너지를 가지는 Soft X-선를 기반으로 한 공기 실균/정화, 의료기 등의 분야에 적용하고 있습니다. | 소프트 X-선은 공기중의 입자(미세먼지, 세균, 바이러스)를 이온화하여 정전기를 띄게하는 성질을 가자고 있는데, 이 하전된 입자를 집진판에서 분잡는 방식으로 공기 살균/정화를 할 수 있습니다. 이 광이온화원리를 바탕으로 신개념의 에아솔루션을 개발하고, 현재 30개 이상의 건물에 설치되어 있습니다.","최근의 그래핀처럼 탄소나튜브(CNT)는 삼십년전 빌견된 이후 분말이라는 ; CNT를 원하는 물성과 형태로 민들어 낼 수 있기에, 다양한 분야에 실제; 저희가 응용분야를 찾는게 아니라, 업계에서 원하는 스펙을 맞출 수 있는 ",한경 잡앤조이,2023.12.12
IQ3,판로 및 사업화,설립 계기,"98년 첫번째 창업을 시작으로 3번의 창업과 몇번의 스타트업을 거치며, 스티트업만의 빠른 전개와 성장에 매력을 느꼈고, 결국은 가장 잘하는 것을 해야된다는 생각에, 2018년 박사과정 전공 분야인 탄소나노튜브 CNT 소재와 X-선을 함께하는 아이템을 바탕으로 창업을 하였습니다.","서울대학교에서 창업강의를 진행하면서, 대학과 연구소의 사업이 실제로 사업단계까지 이루어지는 ""기술사업화""에 상당한 관심이 있었으며, 직접 대표사례를 만들고 싶다는 생각도 하였습니다. 무엇보다도 가장 잘하는 것이어야 그게 가능하다고 생각했기에, 연구실 후배들과 함께 전공분야의 창업을 진행하게 되었습니다. | 여러번에 창업을 경험 했었기에 창업과 동시에 카카오벤처스 그리고 서울대 기술지주로부터 초기 자금을 투자 받았고, 중기부 TIPS프로그램까지 함께 진행되어 초기 자금을 여유있게 확보할 수 있었습니다. | 다만, 신보나 기보의 시설보증을 통해 생산설비를 세팅하고자 했던 계획은, 새롭게 개발한 장비이기에 감정가가 나오기 힘들다는 이유로 틀어졌고, 원래 예상보다는 빠르게 2차투자를 진행하였습니다. | 카카오벤처스와 서울대 기술지주가 1년도 안되는 시간에 후속투자를 진행해주셨습니다.","98년 첫번째 창업을 시작으로 3번의 창업과 몇번의 스타트업을 거치며, ; 서울대학교에서 창업강의를 진행하면서, 대학과 연구소의 사업이 실제로 사업; 여러번에 창업을 경험 했었기에 창업과 동시에 카카오벤처스 그리고 서울대 ",한경 잡앤조이,2023.12.12
IQ7,판로 및 사업화,판로 개척,기술기반 회사의 가장 큰 약점이 잘 못판다는 것인데 저희 엌섬레이도 같은 아려움을 겪고 있습니다.,"저희가 주도적으로 핀매하게 보다는 해당 분야의 잔문영압파트너를 통해 판매를 진행하고 있고, 최근에는 군 사격장과 학교 급식실에 설치를 시작하여 본걱적인 조달영업도 개시하였습니다. | 나아가 제품보다는 원재료로서의 소재와 제품에 작용이 개능한 모듈 형태의 공급에 집중히는 형태로 사업의 방향을 조정해나가고자 합니다. | 에어솔루션도 주거용이나 모빌리티 등은 타사에서 저희 모듈을 활용해서 제품화하려 하고 있고, 의료 영상 또한 파트너사와 협업을 하여 내년 시제품 출시를 준비중에 있습니다. | 기본적으로 해당 분야의 판로를 가지고 있느냐가 저희가 파트너를 선정하는 핵심 기준입니다.",기술기반 회사의 가장 큰 약점이 잘 못판다는 것인데 저희 엌섬레이도 같은; 저희가 주도적으로 핀매하게 보다는 해당 분야의 잔문영압파트너를 통해 판매; 나아가 제품보다는 원재료로서의 소재와 제품에 작용이 개능한 모듈 형태의 ,한경 잡앤조이,2023.12.12
