"id","question","keywords","answer"
"Q1","High-NA EUV가 실제로 양산까지 갈까요? 타이밍 리스크는 어떻게 보나요?","High-NA,EUV,양산,로드맵,타이밍 리스크,ASML,삼성,TSMC,SK하이닉스,HBM,HNE,ASML High NA EUV 장비,에이벤처스,미쓰이 CVC,테일러 공장,테슬라,휴머노이드 로봇,2nm","[요약]
High-NA는 갈지 말지의 문제가 아니라, 언제 어떤 속도로 메인스트림이 되느냐의 문제입니다.

[자세한 답변]
- ASML: High-NA(EUV EXE 시리즈)를 이미 출하하기 시작했으며, 2nm 이하 노드 로드맵을 확정했습니다.
- 삼성전자: 미국 테일러 랩에 2026년 3분기 High-NA EUV 투입을 전제로, 그 이전까지 CNT 펠리클 qualification 완료를 요구하고 있습니다.
- TSMC: 2027년 High-NA EUV 파일럿 라인 가동 계획을 언급하며 관련 Capex 집행 중입니다.
- 기술적 필연성: 2nm 이하 노드에서는 Low-NA만으로 패턴 피치·생산성·수율을 맞추기 어려워 High-NA는 사실상 유일한 합리적 경로입니다.
- SK하이닉스: 현재는 HBM 위주 진행으로 당장 EUV 적용은 아니나, 메모리 노드 단위 변화로 적용 가능성 충분합니다.
- CNT 펠리클 수요: HNE(High-NA EUV) 도입에 따라 수요가 발생하고 가속화되고 있습니다.
- ASML High NA EUV 장비 도입: 현재 양산형 공장 및 장비에는 아직 도입 전이나, 반도체 파운드리 회사의 연구 개발 및 시험 설비에서는 이미 사용 중. 도입 자체에 대해서는 반도체 파운드리 사의 공식적 발표 존재.

[추가: 반도체 회사의 CNT 펠리클 도입 계획]
반도체 파운드리 회사들이 EUV 펠리클 관련 장비 이미 구매
- CNT 펠리클 도입 여부 확실 및 도입 시점 가속화 예정

[추가: 삼성전자 테일러 공장 및 테슬라]
- 삼성전자 미국 테일러 공장 지연의 영향: 삼성전자의 고객사 및 납품 일정은 확정되어 있어 영향 없음
- 테일러 공장에 발주한 테슬라의 반도체 사용처: 휴머노이드 로봇용 2nm 반도체

[추가: Logic용 EUV 장비 정의 (from 케이넷 meeting 2026.04.13)]
- Logic = Low + High EUV 장비 전체를 지칭
- Logic EUV 장비 시장이 CNT 펠리클의 최대 목표 시장임"
"Q2","EUV 펠리클 수요가 생각보다 크지 않을 수 있다는 우려에 대해 어떻게 보나요?","EUV,펠리클 수요,시장 규모,웨이퍼 생산량,수명,교체 주기,수요처,수명,Low-NA 마스크 손해,High-NA 도입 이유","[요약]
보수적인 가정만으로도 Logic용 EUV 펠리클 시장은 2026~28년 기준 연 9~12억 달러 규모입니다.

[자세한 답변]
- Logic용 EUV 장비 누적 대수 가정: 2026년 361대, 2027년 416대, 2028년 476대
- 가정: WPD 3,600, 가동률 90%, 펠리클 수명(Low-NA 20k, High-NA 5k)
- Logic 펠리클 수요량: 2026년 21,346장 / 2027년 24,598장 / 2028년 28,146장
- 전체 시장 규모: 2026년 915M / 2027년 1,054M / 2028년 1,206M USD
- High-NA 전용 시장: 2026년 81M / 2027년 115M / 2028년 149M USD
- CNT 멤브레인 공급사는 소수이나, 수요처는 확정되어 있으며 연구 개발 및 발주가 시작된 상황입니다.

[추가: 기존 EUV 펠리클 미사용 이유 및 수명]
- 기존 EUV 펠리클을 삼성전자가 사용하지 않은 이유: Low NA EUV 장비에서는 EUV 펠리클 없이 포토 마스크 손해를 감수해왔으나, High NA EUV 장비 이후 해당 손해 금액이 커짐
- CNT 기반 EUV 펠리클의 수명: 기존 EUV 장비에서는 수명이 늘어남. High NA EUV 장비에서는 수명 동일 또는 줄어들어도 사용해야 하는 구조
- 중국 EUV 장비 시장 공급 가능성: 낮음. 기존 EUV 펠리클로도 충분하므로 수요처의 수요가 적음 (from 케이넷 meeting 2026.04.13)"
"Q3","어썸레이가 목표로 하는 매출 및 시장 점유율은 어느 정도인가요?","매출 전망,시장 점유율,2026,2027,2028,ASP,멤브레인 가격,원가율,시장규모,73억원,3분기 통과,4분기 납품,S&S Tech 공급 계약","[요약]
보수적으로 2026~28년 동안 멤브레인 매출 60→180→240억원, 시장 점유율 7→12→14%를 목표로 합니다.

[자세한 답변]
- 기본 가정: High-NA EUV 펠리클 6,000만 원/장 (멤브레인 비중 10% = 600만 원/장)
- 2026년: 1,000장 공급 → 매출 60억 원 (점유율 7%), CNT 멤브레인 매출 위주
- 2027년: 3,000장 공급 → 매출 180억 원 (점유율 12%, 2nm 양산 본격화)
- 2028년: 4,000장 공급 → 매출 240억 원 (점유율 14%, 메모리 확대)
- CNT 멤브레인 매출 발생 시점: 2026년 하반기 예상
- Low, High 합쳐서 펠리클 시장은 3조원 규모, 멤브레인은 3천억원 규모이며 그 중 어썸레이의 3~400억원 차지 예상
- 매출 원가율: 카나투 공시 자료 기준 30%, 어썸레이는 10% 예상

[추가: 2026년 매출 추정 상세 및 S&S Tech 공급 방식]
- Qual Test 경과에 따른 매출 변동: 2026년 3분기 통과, 4분기 납품 예상. 기존 샘플 매출 및 납품 매출로 2026년 매출 73억원 추정
- S&S Tech와의 공급 관계: 현재 공급 계약 없이 진행 중. 샘플 공급에 대해서는 Qual Test 이후 정산하는 형식으로 진행 중
- 예상 매출 규모: 전체 및 고객사 수요 규모의 일부분으로 상정한 보수적 추정이며 향후 확대 가능"
"Q4","어썸레이는 EUV 펠리클 양산 경험이 없는데, 2026년에 실제로 양산 공급이 가능합니까?","양산 경험,클린룸,공정,품질,CPO,S&S Tech,리스크 완화,무라타,생산 시설,도입 시기,클린룸 비용,클린룸 준공,장비 반입,Capex 20억","[요약]
양산 경험 부족 리스크를 대기업 전문가 영입 + S&S Tech 협력으로 구조적으로 해결하고 있습니다.

[자세한 답변]
- 인력: LG화학·에코프로비엠 25년 양산 경력의 CPO 영입 (품질·신뢰성 시스템 총괄)
- 역할 분담: 어썸레이는 소재(CNT 멤브레인) 집중, 펠리클 완제품 제조·검사는 S&S Tech 담당
- 램프업 계획: 2026년 하반기 월 170장(Qual 대응) → 2027~28년 월 340장까지 점진적 증설
- 삼성전자 CNT 펠리클 도입: 처음에는 FST 솔벤더로 시작, SST까지 듀얼벤더로 진행 예정. 어썸레이와 SST의 도입 시기는 Qual을 통과하는 2026년 3분기 예상
- 무라타 기계 협업: 양산용 생산 장비 2028년 발주 예정
- 생산 시설: 공간은 자가 및 임대, 시설 및 장비는 자체 개발 및 제작, 정리 사업 부서 공간·시설·장비 매각 중이며 현금 확보 예정 (정리 사업 상세: Q26, QX1, QX2 참조)
- 클린룸 시설 비용: 사무실 매입 및 장비 제작 비용 등 총 20억원

[추가: 생산 장비 및 Capex 현황]
- 생산 장비 상태: 클린룸 준공 완료, 장비 반입 진행 중
- 예상 매출 기준 Capex 규모: 20억원 수준으로 후처리, 분석 장비 및 시설 등에 사용

[추가: 생산 역량 및 Scale (from 케이넷 meeting 2026.04.13)]
- 현재 생산 시설 역량: TSMC 수요량까지 생산 가능한 규모
- CNT 펠리클 크기 확장 계획: 현재 기준 CNT 펠리클 크기로도 시장 요구 충족하므로 크기 확장 계획 없음"
"Q5","FST/Canatu 등이 먼저 qualification을 완료하면 어썸레이의 기회는 사라지는 것 아닌가요?","FST,Canatu,경쟁,qualification,2nd source,배치 공정,Roll-to-Roll,멀티벤더,HNE,FST 동향,에이벤처스,미쓰이 CVC,FST Qual 미통과,디스플레이용 펠리클,FST 현황","[요약]
그렇지 않습니다. EUV 펠리클은 반드시 2nd/3rd 소스를 필요로 하는 전략 부품 시장입니다.

[자세한 답변]
- 경쟁사 현황 (FST/Canatu): 배치(Batch) 공정 기반으로 대면적화 및 수율에 구조적 한계, 파티클 이슈 존재
- 어썸레이 강점: Roll-to-Roll 연속 공정으로 대면적 균일도 및 원가 경쟁력 우위. 연속 생산이 불연속 대비 균일한 생산 가능
- FST의 CNT 펠리클 생산: Canatu의 CNT 멤브레인 생산 장비를 구입하여 자체적으로 생산 중. 카나투는 FST에 생산 장비를 제공하여, FST가 삼성전자 Test에 참여하는 구조
- FST 배정 물량: 삼성전자의 HNE 1대 분량
- 멀티 벤더 기회: Qual 통과 순서에 따라 충분히 많은 비중 확보 가능
- Canatu 연혁: 핀란드 알토대 대학원 CNT 연구 → 벨기에 Imec과 공동 연구 개발 → Canatu 창업 및 소재 개발 → 소재 판매에서 장비 판매로 사업 전환
- FST의 Qual 완료는 시장 타당성 검증 및 시장 개화의 신호이며, 고객사는 더 나은 솔루션(어썸레이)을 찾게 됩니다.
- FST 동향: Canatu 장비를 구입하여 기술 이전을 받아 생산 중.

[FST 생산 방식]
어썸레이는 CNT 자체 연구 개발 및 생산, FST는 Canatu의 CNT 멤브레인 생산 장비 구매하여 자체 생산 (확인)

[추가: FST 현황 상세]
- FST의 기존 펠리클 매출: FST의 펠리클 매출은 디스플레이용 펠리클 매출. EUV 펠리클은 현재 연구 개발 중으로 Qual 통과 이후 매출 발생 예정
- FST Qual 진행 현황: 현재 아직 Qual 통과 전 단계
- FST 선행 납품 시 영향: 어썸레이는 삼성전자의 멀티 벤더 정책으로 공급 확정. Qual 통과 순서에 따른 비중 차이는 있을 수 있으나 공급은 확정적

[추가: 경쟁사 현황 및 측정 방식 (from 케이넷 2026.04.13, 리인베 2026.04.09)]
- 전 세계 CNT 멤브레인/펠리클 경쟁사: 핀란드 Canatu, 일본 Mitsui, 일본 Lintec 3곳만 존재
- Canatu 측정 방식: UV VIS로 측정하여 EUV 유사성 기반 경향성 추정. 수소 플라즈마는 Imec에서 측정 추정
- Canatu 균일도 문제 추정: 불연속(배치) 생산이므로 각 CNT 펠리클의 균일도 확보에 구조적 문제 추정됨
- 어썸레이 측정 방식: SST를 통해 삼성전자에 납품하여 실제 환경에서 측정
- FST vs 어썸레이 속도: 기존에는 FST 진행 속도가 빨랐으나, Qual Test 지연에 따라 어썸레이와 FST 속도가 비슷해짐"
"Q6","삼성과의 관계 때문에 TSMC 등 다른 파운드리에 공급이 제한되지 않나요?","삼성,TSMC,글로벌 고객,IP,전략,전속 리스크,SST,FST,대주주,해외 판매,에이벤처스,미쓰이 CVC,LG화학,분말형태,경쟁 아님,CNT 분말 사업 종료","[요약]
어썸레이는 특정 고객 전속이 아닌 글로벌 CNT 소재 플랫폼을 지향합니다.

[자세한 답변]
- 현재: 삼성은 핵심 초기 고객이자 기술 검증(Reference) 파트너
- 전략: 원천 IP와 생산 설비는 어썸레이가 보유하며, TSMC·Intel·SK hynix 등 글로벌 고객 확장을 전제로 비즈니스 구조 설계
- SST, FST 모두 삼성전자가 대주주이며, 국내 CNT 펠리클 공급에서는 삼성전자에 영향 받으나, 해외 판매 시 CNT 멤브레인에는 영향 없음
- SST의 직접 투자 제안이 있었으나, 종속 우려로 거절하여 독립적 지위 유지
- 삼성에서의 신뢰성을 바탕으로 글로벌 파운드리로 확장하는 'CNT Crafting 플랫폼' 모델입니다.

[글로벌 고객 확장]
국내는 SST, FST 모두 삼성전자 독점 형태
- 해외 TSMC로는 CNT 멤브레인 판매 가능
- TSMC 직접 컨택 포인트 없음, SPIE 등 학회/전시회에서 만날 예정
- 라이센싱/기술이전은 지향하지 않음, 제품 판매에 집중 (from 미쓰이 meeting)
- 미쓰이와는 경쟁 관계가 있어 협업 어려움, 한국 내 회사와 협업 불가, 해외 회사와는 가능 (from 미쓰이 meeting)

[추가: LG화학 등 기존 CNT 회사와의 관계]
- LG화학 등 기존 CNT 회사와의 차별점: 기존 CNT 회사들은 분말 형태 생산. 어썸레이는 섬유와 멤브레인 형태 생산. 목표 산업 및 시장이 다르므로 경쟁 관계 아님
- CNT 분말 시장 현황: 중국 CNT 산업의 발달 및 생산 과잉으로 국내 LG화학 등 사업 중단

[추가: 삼성전자 외 매출 수요처 및 해외 공급 구조 (from 케이넷 2026.04.13, 리인베 2026.04.09)]
- 삼성전자 납품 이후 확장: SK하이닉스로 확장 예정, 향후 TSMC/인텔로도 확장 가능
- 해외 공급 구조: 국내는 S&S Tech를 통해 삼성전자에 공급. 해외에는 어썸레이가 직접 공급 가능 (SST 경유 불필요)
- 수요처 종속 문제: 직접 납품하는 SST는 종속될 수 있으나, 어썸레이는 비용 수령 없이 자체 개발했으므로 종속 의무 없음"
"Q7","EUV 펠리클은 어떤 용도이며, 밸류체인은 어떻게 되나요?","밸류체인,공정,비용 구조,멤브레인,펠리클 제조,파운드리,플레이어,용도,Me-Si,미쓰이","[요약]
포토마스크의 회로 노광을 위한 EUV를 누락없이 투과시키고, 파티클 문제를 예방하는 핵심 부품입니다.

[자세한 답변]
- EUV 펠리클 용도: 포토마스크 보호 및 EUV 광 투과, 파티클 오염 방지
- 기존 펠리클은 미쓰이의 Me-Si 소재 기반
- 밸류체인 3단계:
  1단계 CNT 멤브레인 소재 (aweXome Ray, Canatu): 핵심 소재 합성 및 멤브레인 형성 (비용 비중 10% → 향후 15~20% 확대)
  2단계 펠리클 제조 (S&S Tech, FST, Mitsui): 프레임 부착, 코팅, 조립, 검사, 패키징 (비용 비중 30~40%)
  3단계 EUV 공정 운영 (삼성전자, TSMC, Intel): 노광 장비 장착 및 반도체 양산
- 어썸레이는 CNT 멤브레인 생산 및 공급, SST는 코팅·프레임·CNT 펠리클 생산 및 공급, 타 코팅 회사는 각자 코팅 시도 중"
"Q8","CNT 펠리클 시장은 왜 지금 성장하고 있나요?","CNT 펠리클,시장 성장,2nm,Capex,High-NA,삼성,Intel,SK hynix,TSMC,HNE","[요약]
2nm 이하 노드 진입과 High-NA EUV 도입 가속화가 결정적 요인입니다.

[자세한 답변]
- 기존 실리콘/SiC 펠리클은 High-NA의 고출력/고열 환경을 견디지 못함
- Intel, 삼성, SK hynix의 High-NA Capex 투자가 CNT 펠리클 수요를 직접 견인
- 삼성전자는 2026년 3분기 테일러 랩 가동을 위해 CNT 펠리클 적용을 필수 전제로 추진 중
- HNE 도입에 따라 수요가 발생하고 가속화되는 구조"
"Q9","CNT 펠리클 시장 규모를 어떻게 추정하나요? (2030년 기준)","시장 규모,2030,High-NA,장비 대수,WPH,ASP,멤브레인 비중","[요약]
보수적인 가정하에서도 2030년 High-NA 펠리클 시장은 약 3조 원 규모로 추정됩니다.

[자세한 답변]
- 가정: WPH 200장, 펠리클 단가 4,000만 원, 수명 10,000장
- High-NA 펠리클 시장: 약 3조 원
- CNT 멤브레인 시장 (비중 10%): 약 3,000억 원
* 멤브레인 비중 확대(15~20%) 또는 수명 단축 시 실질 시장 규모는 더 커질 수 있음"
"Q10","CNT 펠리클이 Low-NA EUV 장비로 확장될 근거는 무엇인가요?","Low-NA,광원 출력,확장,HNE,LNE,도입 시점,Low-NA 370대,High-NA 9대,장비 대수","[요약]
""High-NA 선행 도입 후, Low-NA로 확대""라는 방향성은 산업 내 합의된 수순입니다.

[자세한 답변]
- Low-NA 장비도 광원 출력이 지속 증가하여 기존 소재의 한계 도달
- High-NA 극한 환경에서 검증된 소재(CNT)를 상대적으로 완화된 Low-NA에 적용하는 것은 자연스러운 흐름
- 고객사별 구체적 도입 시점의 차이일 뿐, 확장은 시간 문제

[추가: EUV 장비 대수 및 공급 순서]
- CNT 멤브레인 공급 대상 및 범위: High NA EUV 장비로 시작, Low NA EUV 장비로 확장
- 현재 EUV 장비 대수: High NA 9대, Low NA 370여대
- 초기 High NA에서 검증 후 Low NA로 확장하는 단계적 접근"
