id,category,question,answer_summary,answer_detailed,keywords,source,date
IQ1,회사 소개 및 대표,어썸레이 소개 및 창업 계기,"탄소나노튜브(CNT) 소재 전문 딥테크 스타트업. 2018년 7월 서울대 탄소나노재료설계연구실 동료들과 창업. 대표 김세훈은 서울대 재료공학부 박사, 4번째 창업.","어썸레이는 2018년 7월, 서울대학교 탄소나노재료설계연구실(지도교수 박종래, 현 UNIST 총장) 동료들과 함께 창업한 소재·부품·장비 분야 기술 스타트업. | 대표 김세훈은 서울대학교 재료공학부에서 박사학위를 받고, 1998년 첫 창업 이후 여러 번의 경험을 거치며 전공 분야인 CNT 소재를 중심으로 창업을 결심. 서울대에서 기술창업 강의를 진행하면서 대학 연구실의 기술이 실제 사업으로 이어지는 사례를 직접 만들고 싶다는 생각이 동기가 됨. | 창업과 동시에 카카오벤처스, 서울대기술지주로부터 초기 투자를 유치하고 중기부 TIPS 프로그램에도 선정되어 초기 자금을 안정적으로 확보. 이후 4차례에 걸쳐 총 270억원 규모의 투자를 유치. | 설립 초기에는 CNT 기반 냉음극 X선 광원과 이를 활용한 공기살균·정화 솔루션을 주력으로 사업화를 추진. 그러나 2025년 10월 사업 구조를 전면 전환. 글로벌 시장에서 CNT 소재 자체의 수요가 빠르게 커지는 것을 확인하고, 특히 반도체, 방산·항공우주, 모빌리티 등 고부가가치 산업에서 CNT 섬유·멤브레인 소재에 대한 니즈가 명확해졌기 때문. 현재는 EUV 펠리클 멤브레인, EMI 차폐 소재, CNT 섬유 및 직물, 경량 배선재 등 네 개 핵심 응용 분야에 집중.","CNT,창업,서울대,박종래,UNIST,김세훈,카카오벤처스,TIPS,270억원,2025년 구조전환,EUV 펠리클,EMI 차폐,경량 배선재",매경인터뷰,2026.04
IQ2,핵심 기술,핵심 기술 및 경쟁력 그리고 CNT 확장 분야,CNT를 분말이 아닌 연속 필라멘트(섬유)와 부직포 멤브레인 형태로 대량 생산하는 Direct Spinning 공정 기술이 핵심. axrial 브랜드 3개 제품군 보유.,"어썸레이의 핵심 경쟁력은 CNT를 분말이나 페이스트 형태가 아닌, 연속 필라멘트(섬유)와 부직포 멤브레인 형태로 대량 생산할 수 있는 직접 방사(Direct Spinning) 공정 기술. CNT를 꼬임, 편조, 라미네이팅 등 기존 섬유 가공 기법으로 처리 가능한 형태로 만들 수 있으며, 이는 CNT 소재를 실질적으로 산업에 적용하는 데 있어 가장 큰 병목을 해결한 것. | 이를 기반으로 개발한 플랫폼 브랜드 axrial은 세 가지 제품군으로 구성: axrial membrane(EUV 펠리클 멤브레인), axrial electric(배선재·EMI 차폐), axrial heat(발열 소재). | CNT 소재가 확장될 수 있는 주요 산업 분야: 반도체(EUV 펠리클 멤브레인 - 초경량·고내열·고투과율), 방산·항공우주(EMI 차폐, 경량 배선재), 모빌리티(전기차·UAM 배선, 발열 시트), 차세대 에너지(배터리 전극재, 슈퍼커패시터), 스마트 텍스타일(SHM 센서, 웨어러블 디바이스).","Direct Spinning,axrial,membrane,electric,heat,EUV 펠리클,EMI 차폐,배선재,발열,반도체,방산,모빌리티,배터리,스마트텍스타일",매경인터뷰,2026.04
IQ3,매출,매출 규모,"2025년 10월 소재 전문 기업으로 전환 이후, 올해 하반기부터 멤브레인 부문 매출 본격 발생 예상. 2028년 기술특례 상장 전까지 연 매출 100억원 달성 목표.","2025년 10월 소재 전문 기업으로 사업 전환 이후, 올해 하반기부터 멤브레인 부문 매출이 본격 발생할 것으로 예상. 2028년 기술특례 상장 전까지 연 매출 100억원 달성을 목표로 하고 있으며, 양산 시설 가동과 함께 본격적인 매출 성장이 이루어질 것으로 전망.","매출,100억원,2028년,기술특례 상장,양산,멤브레인",매경인터뷰,2026.04
IQ4,기술 및 시장,CNT 상용화의 한계와 어썸레이의 접근,CNT는 30년간 분말의 형태적 한계로 사업화 못함. 어썸레이는 섬유/멤브레인 형태로 연속 생산하여 이 한계를 돌파. 원하는 물성과 형태로 만들어 고부가가치 영역만 선택적 사업화.,"CNT는 발견된 지 30년이 넘었지만, 오랫동안 분말이라는 형태적 한계로 인해 주재료로 자리잡지 못함. 분말 형태로는 다른 소재에 첨가제로 섞는 용도에 머물 수밖에 없었고, 최근 배터리 전극 첨가제로 상업화된 것이 대표적인 사례. | 어썸레이는 CNT를 섬유 또는 멤브레인 형태로 연속 생산함으로써 이 한계를 정면 돌파. 소재를 원하는 물성과 형태로 만들어낼 수 있게 되면, 응용 분야를 억지로 찾는 것이 아니라 산업에서 원하는 스펙에 맞춰 고부가가치 영역만 선택적으로 사업화하는 것이 가능. 이것이 어썸레이의 전략적 차별점.","CNT,분말,섬유,멤브레인,연속생산,상용화,배터리 첨가제,고부가가치",매경인터뷰,2026.04
IQ5,EUV 펠리클,EUV 펠리클 상용화 가능성과 시점,"EUV 펠리클은 반도체 노광 공정의 초박막 소재로, CNT 멤브레인이 거의 유일한 소재 후보. 삼성전자 테일러 팹 EUV 펠리클 설비 발주로 도입 시점 가시화.","EUV 펠리클은 반도체 노광 공정에서 포토마스크를 오염으로부터 보호하는 초박막 소재로, EUV 광원을 통과시키면서 극도의 내열성과 기계적 강도를 요구. CNT 멤브레인은 이 조건을 충족할 수 있는 현재로서는 거의 유일한 소재 후보. | 상용화 시점과 관련해서는 최근 업계의 움직임이 매우 구체적. 삼성전자가 미국 텍사스주 테일러 팹에 EUV 펠리클 설비를 발주했으며, FST가 250억원 규모의 탈·부착 장비와 검사 장비를 수주해 공급하기로 함. 해당 테일러 팹은 올해 하반기 2나노미터 양산 가동을 목표로 건설 중이며, 테슬라 AI 칩 AI5도 이곳에서 연내 양산 예정. | 업계에서는 시스템반도체 공정을 시작으로 향후 메모리 공정으로 확대될 것으로 전망하고 있으며, 삼성전자가 보유한 EUV 장비 70대 이상에 국산 펠리클이 도입될 경우 파급력도 상당할 것으로 예상. | 어썸레이는 현재 국내 주요 파트너사를 통해 삼성전자향 CNT 펠리클 소재의 PoC 및 자격 인증 과정을 진행 중. 삼성전자의 테일러 팹 펠리클 설비 발주로 도입 시점이 사실상 확정된 만큼, 어썸레이의 CNT 펠리클 멤브레인 상용화 일정도 함께 가시화.","EUV 펠리클,삼성전자,테일러 팹,FST,250억원,2나노미터,테슬라 AI5,CNT 멤브레인,PoC,상용화",매경인터뷰,2026.04
IQ6,방산·항공우주,방산·항공우주 분야 적용 가능성,방산 및 항공우주는 어썸레이가 특히 주목하는 성장 영역. CNT 섬유 배선재는 구리의 1/5 무게로 동등한 전기전도성 유지. EMI 차폐에서도 경량 차폐 솔루션으로 방산 플랫폼 적용 추진 중.,"방산 및 항공우주 분야는 어썸레이가 특히 주목하는 성장 영역. 최근 글로벌 지정학적 긴장 고조와 함께 방산 예산이 급증하면서, 경량 고성능 소재에 대한 수요가 빠르게 증가. | 모빌리티와 항공우주 분야에서 경량화는 가장 핵심적인 키워드. 전기차는 배터리 무게를 감안하면 차체와 배선 모든 부분의 경량화가 주행거리와 직결되고, 항공기와 위성은 1g을 줄이는 것이 곧 비용과 성능으로 이어짐. CNT 섬유 배선재는 구리선과 동등한 전기전도성을 유지하면서도 무게는 구리의 1/5 수준에 불과. 기존 배선 시스템을 CNT 섬유로 대체할 경우 차량과 항공기 전체 배선 무게를 획기적으로 줄일 수 있어, 전기차·UAM·항공기·위성 분야에서의 잠재적 파급력이 매우 큼. | EMI 차폐 분야에서도 기존 금속 소재를 대체하는 경량 차폐 솔루션으로서 방산 플랫폼 적용을 추진 중이며, 현재 Scale-up TIPS R&D 과제를 통한 연구개발도 병행.","방산,항공우주,경량화,CNT 섬유,배선재,구리 1/5,EMI 차폐,전기차,UAM,위성,Scale-up TIPS",매경인터뷰,2026.04
IQ7,파트너십,대기업·정부 협력 현황,국내 완성차 업체 및 항공우주 기업과 CNT 섬유 소재 관련 초기 연구 협력 진행 중. 정부 R&D는 중기부 TIPS 및 Scale-up TIPS 과제로 EMI 차폐 소재 개발 진행.,"공개 가능한 범위에서 말씀드리면, 현재 국내 완성차 업체 및 항공우주 기업과 CNT 섬유 소재 관련 초기 연구 협력이 진행 중. 정부 R&D 측면에서는 중기부 TIPS 및 Scale-up TIPS 과제를 통해 EMI 차폐 소재 개발을 진행하고 있으며, KIST 등 국내 주요 연구기관과의 컨소시엄 구성도 추진 중. 협력사명은 양측 합의 전까지 공개가 어려운 점 양해 부탁.","대기업,정부,협력,완성차,항공우주,TIPS,Scale-up TIPS,EMI 차폐,KIST,컨소시엄",매경인터뷰,2026.04
IQ8,수상,Techtextil Innovation Award의 의미,Techtextil 2026에서 axrial이 New Concept 부문 수상. 산업용 섬유 및 기능성 직물 분야 세계 최대 전시회에서 소재 혁신성과 산업 적용 가능성을 인정받은 것.,"이번 Techtextil 2026에서 axrial이 Techtextil Innovation Award New Concept 부문을 수상. Techtextil은 산업용 섬유 및 기능성 직물 분야 세계 최대 전시회로, 이 어워드는 소재 혁신성과 산업 적용 가능성을 가장 권위 있게 평가받는 자리. | 어썸레이에게 이 수상은 단순한 수상 이상의 의미. CNT를 섬유 산업에 접목한다는 개념 자체가 글로벌 전문가들로부터 기술적 타당성과 시장 혁신성을 공식 인정받은 것이기 때문. 나노기술과 섬유 산업 사이의 간극을 처음으로 연결하고, 수동적 섬유를 능동적 전자·열 기능 소재로 전환한다는 axrial의 개념이 그 가치를 인정받은 것으로, 이번 Techtextil 2026은 axrial 플랫폼의 공식적인 글로벌 데뷔 무대이기도 함.","Techtextil,Innovation Award,New Concept,axrial,글로벌 데뷔,섬유 산업,나노기술",매경인터뷰,2026.04
IQ9,비전,5년 후 비전과 사업 방향,"5년 후 CNT 섬유·멤브레인 소재의 글로벌 핵심 공급자로 자리잡는 것이 목표. 2028년 기술특례 상장, CNT 섬유 분야 소부장 유니콘 지향.","5년 후 어썸레이는 CNT 섬유·멤브레인 소재의 글로벌 핵심 공급자로 자리잡는 것을 목표. | 단기적으로는 올해 하반기 멤브레인 매출을 시작으로 2028년 기술특례 상장 전 연 매출 100억원을 달성하고, 첫 양산 시설 가동을 통해 안정적인 공급 체계를 구축하는 것이 핵심. 중기적으로는 상장을 통해 확보한 자본으로 글로벌 양산 확장에 나서고, 방산·항공우주·모빌리티 분야의 글로벌 Tier-1 파트너들과의 협력 관계를 넓혀갈 계획. | 궁극적으로는 CNT 섬유 소재가 필요한 곳이라면 어썸레이라는 포지셔닝을 갖는 소부장 글로벌 전문 기업, CNT 섬유 분야의 소부장 유니콘이 되는 것이 목표.","5년,비전,글로벌,100억원,기술특례 상장,양산,Tier-1,소부장 유니콘",매경인터뷰,2026.04
IQ10,마무리,마지막으로 하시고 싶은 말씀,"CNT는 꿈의 소재에서 실제 산업 현장에서 쓸 수 있는 소재로 전환 중. Techtextil Innovation Award 수상으로 글로벌 기술력 인정, CNT 소재의 산업화 원년이 다가오고 있음.","CNT는 오랫동안 꿈의 소재라고 불려왔지만, 어썸레이는 그 꿈을 실제 산업 현장에서 쓸 수 있는 소재로 만드는 작업을 묵묵히 해왔음. 분말에 머물던 CNT를 섬유로, 멤브레인으로, 그리고 실제 제품으로 이어지는 공정을 완성한 회사는 전 세계적으로도 손에 꼽힘. | 이번 Techtextil Innovation Award 수상을 계기로 글로벌 시장에서도 어썸레이의 기술력이 본격적으로 알려지기 시작. 삼성전자의 EUV 펠리클 양산 도입이 가시화되고, 방산·모빌리티 분야에서의 협력도 구체화되면서, CNT 소재의 산업화 원년이 눈앞에 다가와 있다고 느낌. 앞으로 어썸레이의 CNT 소재가 반도체, 방산, 모빌리티 등 다양한 분야의 핵심 부품으로 자리잡는 모습을 기대해주시기 바람.","꿈의 소재,Techtextil,삼성전자,EUV 펠리클,방산,모빌리티,산업화 원년",매경인터뷰,2026.04
